A0A0C5B5G6	A0A0C5B5G6
O15263	O15263
O15263	Q6QLR2
O15263	P81534
O15263	Q7TNV9
O15263	P83943
P01571	P01571
P01571	P01567
P01571	P01566
P01571	P01568
P01571	P05014
P01571	P05013
P01571	P32881
P01571	P01570
P01571	P05015
P01571	P01569
P01571	P01562
P01571	P01563
P01571	P05000
P01571	Q61716
P01571	P07350
P01571	P01572
P01571	P09235
P01571	P07351
P09683	P09683
P09683	Q08535
P09683	P11384
Q12982	Q12982
Q12982	O54940
Q12982	Q86WG3
Q12982	Q1M168
Q12982	Q8BHE3
Q12982	Q7Z465
Q13485	Q13485
Q13485	P97471
Q13485	O70437
Q14CZ0	Q14CZ0
Q14CZ0	A0A7P0TBJ1
Q14CZ0	A2BE76
Q53FA7	Q53FA7
Q5T124	Q5T124
Q6P4F1	Q6P4F1
Q6P4F1	Q5F2L2
Q6P4F1	Q495W5
Q70EL3	Q70EL3
Q70EL3	Q6P8X6
Q86YW5	Q86YW5
Q86YW5	Q8K558
Q8IZP1	Q8IZP1
Q8IZP1	A6NER0
Q8IZP1	Q6DHY5
Q8N5H7	Q8N5H7
Q8N5H7	D3ZAZ5
Q8N5H7	Q9QZK2
Q8N5H7	O75815
Q8N5H7	Q9QZS8
Q8NB78	Q8NB78
Q8NB78	Q8CIG3
Q96B96	Q96B96
Q96K76	Q96K76
Q96K76	Q8BY87
Q96P11	Q96P11
Q96P11	Q8K4F6
Q9BSJ6	Q9BSJ6
Q9H672	Q9H672
Q9HAI6	Q9HAI6
Q9NP71	Q9NP71
Q9NP71	Q99MZ3
Q9NP71	Q8VIP2
Q9NP71	Q2VPU4
Q9NP71	Q9HAP2
Q9NX08	Q9NX08
Q9P2Y4	Q9P2Y4
Q9P2Y4	Q6IQX8
Q9UPU5	Q9UPU5
Q9Y5Z9	Q9Y5Z9
Q9Y5Z9	Q9DC60
Q9Y5Z9	E7FB98
Q9Y5Z9	Q9V3R8
O15455	O15455
O15455	Q99MB1
O75129	O75129
O75129	Q80Z10
O75129	O14525
O75129	Q61137
O95503	O95503
O95503	Q9DBY5
P26572	P26572
P26572	P27115
P26572	P27808
P26572	Q11068
P40200	P40200
P40200	Q3U0X8
P50591	P50591
P50591	P50592
Q13049	Q13049
Q13049	Q8CH72
Q14181	Q14181
Q14181	P33611
Q14181	O89043
Q14CB8	Q14CB8
Q2NKX8	Q2NKX8
Q4KMQ1	Q4KMQ1
Q4KMQ1	A2AI08
Q69YG0	Q69YG0
Q6ZU52	Q6ZU52
Q7LFX5	Q7LFX5
Q8IU81	Q8IU81
Q8IU81	Q9H1B7
Q8IU81	Q5EIC4
Q8IU81	Q2MJS2
Q96LW7	Q96LW7
Q96PV6	Q96PV6
Q99816	Q99816
Q99816	Q6IRE4
Q99816	Q61187
Q9BRV8	Q9BRV8
Q9BRV8	Q9CRA9
Q9BRV8	Q9NVK5
Q9BRV8	Q6TA25
Q9H633	Q9H633
Q9NP73	Q9NP73
Q9NP73	Q9D8C3
Q9NZU0	Q9NZU0
Q9NZU0	Q8BGT1
Q9NZU0	B1H234
Q9NZU0	Q70AK3
Q9NZU0	Q6RKD8
Q9NZU0	Q9NZU1
Q9NZU0	Q8BLU0
Q9NZU0	D3ZTV3
Q9NZU0	O43155
Q9UBD0	Q9UBD0
O00443	O00443
O00443	Q61194
O00443	O00750
O14810	O14810
O14810	P84086
O14810	P84087
O14810	Q6PUV4
O14810	P63041
O14810	P63040
O14810	Q8IPM8
O14810	Q9GUM7
P08603	P08603
P08603	P06909
P12110	P12110
P12110	Q02788
P40205	P40205
P48145	P48145
P48145	Q8MJV3
P48145	P48146
P61803	P61803
P61803	P61805
P61803	E2R4X3
P61803	P61804
P61803	O14238
P61803	Q8I7Z2
P61803	P46964
P61803	Q39080
P61803	O22622
P61803	Q9VLM5
P61803	P52872
Q05923	Q05923
Q05923	Q05922
Q05923	Q62767
Q05923	P28562
Q05923	Q91790
Q05923	P28563
Q05923	Q64623
Q05923	Q13115
Q05923	O54838
Q05923	Q16690
Q13123	Q13123
Q13572	Q13572
Q13572	Q8BYN3
Q27J81	Q27J81
Q27J81	Q0GNC1
Q4G0W2	Q4G0W2
Q5JS13	Q5JS13
Q5JS13	Q86X27
Q5TB30	Q5TB30
Q6MZQ0	Q6MZQ0
Q6MZQ0	A2AVJ5
Q6MZQ0	Q812A5
Q6MZQ0	P85299
Q7Z4I7	Q7Z4I7
Q7Z4I7	P48059
Q7Z4I7	Q91XD2
Q7Z4I7	Q99JW4
Q7Z4I7	P50464
Q8NFH4	Q8NFH4
Q8TBJ4	Q8TBJ4
Q8TBJ4	Q8BJ52
Q8TBJ4	Q6WAY2
Q8TBJ4	Q96GM1
Q8WWB5	Q8WWB5
Q8WWB5	Q5PRB3
Q92543	Q92543
Q92543	Q6P4T1
Q9BW61	Q9BW61
Q9H061	Q9H061
Q9H061	Q9D8Y1
Q9H6U8	Q9H6U8
Q9H6U8	Q9VBV8
Q9NQZ5	Q9NQZ5
Q9NQZ5	Q8R1R3
Q9UKK3	Q9UKK3
Q9UKK3	E9PYK3
O43194	O43194
O43194	Q5U431
P04004	P04004
P04004	P48819
P04004	P29788
P21283	P21283
P21283	P21282
P21283	Q9Z1G3
P21283	Q5FVI6
P21283	Q9XXU9
P21283	Q8NEY4
P21283	Q99L60
P56202	P56202
Q06787	Q06787
Q06787	Q6GLC9
